PID	Status	Label
-	0	com.apple.DictationIM
562	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
-	0	com.apple.keychainsharingmessagingd
3648	0	com.apple.mdworker.shared.0D000000-0000-0000-0000-000000000000
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
574	0	com.apple.CoreAuthentication.agent
568	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
589	0	com.apple.chronod
563	0	com.apple.accessibility.heard
632	0	com.apple.corespeechd
-	0	com.apple.AMPSystemPlayerAgent
712	0	com.apple.itunescloudd
-	0	com.apple.scrod
825	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
-	0	com.apple.bookdatastored
-	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	1	com.jamf.remoteassist.connect.userloginagent
-	0	com.apple.XProtect.agent.scan.startup
834	0	com.apple.amsengagementd
-	0	com.apple.AirPortBaseStationAgent
-	0	com.apple.proactiveeventtrackerd
-	0	com.apple.proactived
505	0	com.apple.universalaccessd
677	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
1212	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.recentsd
-	0	com.apple.transparencyStaticKey
-	0	com.apple.sirittsd
742	0	com.apple.WiFiVelocityAgent
510	0	com.apple.usernoted
644	0	com.websense.endpoint.dlp.helperservice
951	0	com.apple.geodMachServiceBridge
1196	0	com.apple.Safari.History
1206	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
549	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
970	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
582	0	com.apple.contactsd
675	0	com.apple.swcd
648	0	com.apple.AirPlayUIAgent
-	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
694	0	com.apple.corespotlightd
901	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
614	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
707	0	application.com.GroundControl.GroundControl-Launchpad.32749862.32749869
663	0	com.apple.Spotlight
923	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
868	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
812	0	com.apple.metadata.mdbulkimport
